Terms,Document 1.txt,Document 2.txt,Document 3.txt,Document 4.txt,Document 5.txt,Document 6.txt,Document 7.txt,Document 8.txt,Document 9.txt,Document 10.txt,idf,tf-idf 1,tf-idf 2,tf-idf 3,tf-idf 4,tf-idf 5,tf-idf 6,tf-idf 7,tf-idf 8,tf-idf 9,tf-idf 10
radiograph,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
bachelor,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
relat,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
concern,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
therapist,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
scan,0,0,0,0,0,0,-0.6812412373755872,-0.16136800223497483,0,0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,-0.476167190642289,-0.11279139322187505,0.0,0.0
sever,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
goal,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industri,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
design,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
includ,0,0,0,0,0,0,-0.38021124171160614,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38021124171160614,0.0,0.0,0.0
across,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
ct,0,0,0,0,0,0,-0.6812412373755872,-0.4623979978989561,0,0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,-0.476167190642289,-0.32320233059639975,0.0,0.0
subfield,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
intervent,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
comput,0,0,-0.11394335230683672,-0.028028723600243444,0.09691001300805646,0.3233063903751334,-0.6812412373755872,0,0,0.1549019599857432,0.2218487496163564,0.0,0.0,-0.025278190236367706,-0.006218137284056467,0.02149936521114216,0.07172511844770095,-0.15113251669887345,0.0,0.0,0.03436480613596
profession,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
magnet,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
allow,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
imag,0,0,0,0,0,0,0.09691001300805646,-0.16136800223497483,0,0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,0.06773719221244487,-0.11279139322187505,0.0,0.0
type,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
high,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
assist,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
accord,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manag,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
specialis,0,0,0,-0.2041199826559248,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0,0.0
bodi,0,0,0,0,0,0,-0.38021124171160614,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38021124171160614,0.0,0.0,0.0
stage,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
field,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
ir,0,0,-0.11394335230683672,0,0,0,0,0,0,0,1.0,0.0,0.0,-0.11394335230683672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earli,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
relev,0,0,-0.11394335230683672,0,0,0,0,0,0,0,1.0,0.0,0.0,-0.11394335230683672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dentist,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
retriev,0.07918124604762478,0.4771212547196624,-0.11394335230683672,0,0,0,0,0,0,0,0.5228787452803376,0.041402190583115735,0.24947656301439744,-0.059578557087234245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inform,0.30102999566398125,0.4771212547196624,0.4881166390211257,-0.028028723600243444,0,0.1983676537668334,0,0,0,0,0.3010299956639812,0.09061905828945656,0.14362780923945323,0.14693774972804655,-0.00843748654384821,0.0,0.059714613953303984,0.0,0.0,0.0,0.0
favourit,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look,0,0,0,0,-0.2041199826559248,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0
data,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step,0,-0.30102999566398125,0,0,0,0,0,0,0,0,1.0,0.0,-0.30102999566398125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process,0,0,-0.11394335230683672,0,0,0,-0.6812412373755872,0,0,0,0.6989700043360189,0.0,0.0,-0.07964298545597019,0.0,0.0,0.0,-0.476167190642289,0.0,0.0,0.0
dynam,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
interior,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
anesthesiolog,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
oral,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
program,-0.09691001300805646,0,0,0,0,0,0,-0.4623979978989561,0,0,0.6989700043360189,-0.06773719221244487,0.0,0.0,0.0,0.0,0.0,0.0,-0.32320233059639975,0.0,0.0
assign,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diagnost,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
perform,0,-0.30102999566398125,0,0,0,0,0,0,0,0,1.0,0.0,-0.30102999566398125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
major,0,0,0,0,-0.2041199826559248,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0
condit,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
result,0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportun,0,0,0,0,-0.2041199826559248,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0
popular,0,0,0,0,0,-0.2787536009528291,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2787536009528291,0.0,0.0,0.0,0.0
order,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
common,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
use,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
scienc,0,0,-0.11394335230683672,-0.028028723600243444,0.09691001300805646,0.02227639471115217,0,0,0,0.1549019599857432,0.3010299956639812,0.0,0.0,-0.03430036685086654,-0.00843748654384821,0.0291728207956116,0.006705863003307271,0.0,0.0,0.0,0.04663013634285046
patient,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
one,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doctor,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
mean,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
practic,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
job,0,0,0,0,0,-0.2787536009528291,0,0,-0.1303337684950061,0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,-0.19484040566667982,0.0,0.0,-0.09109939473008409,0.0
medicin,0,0,0,0,0,0,-0.6812412373755872,0,-0.43136376415898736,0.1549019599857432,0.5228787452803376,0.0,0.0,0.0,0.0,0.0,0.0,-0.35620656343217166,0.0,-0.22555094376285478,0.08099494247881046
main,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
develop,0,0,0,0,-0.2041199826559248,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0
medic,0,0,0,0,0,0,-0.07918124604762489,-0.16136800223497483,0.04575749056067513,0,0.5228787452803376,0.0,0.0,0.0,0.0,0.0,0.0,-0.04140219058311579,-0.08437589853701835,0.023925619251542705,0.0
clinic,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
languag,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analysi,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
find,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
best,0,0,0,0,0,0,0,0,-0.1303337684950061,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1303337684950061,0.0
ultrasound,0,0,0,0,0,0,-0.6812412373755872,-0.4623979978989561,0,0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,-0.476167190642289,-0.32320233059639975,0.0,0.0
surgeon,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
lead,0,0,0,-0.505149978319906,0,0,0,-0.4623979978989561,0,0,0.6989700043360189,0.0,0.0,0.0,-0.3530846825366046,0.0,0.0,0.0,-0.32320233059639975,0.0,0.0
mri,0,0,0,0,0,0,-0.6812412373755872,-0.4623979978989561,0,0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,-0.476167190642289,-0.32320233059639975,0.0,0.0
physician,0,0,0,0,0,0,0,0,-0.1303337684950061,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1303337684950061,0.0
graduat,0,0,0,-0.505149978319906,-0.2041199826559248,0,0,-0.4623979978989561,0,0,0.5228787452803376,0.0,0.0,0.0,-0.2641321868423022,-0.10673000041777424,0.0,0.0,-0.24177808496154635,0.0,0.0
diseas,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
skill,0,0,0,0,-0.2041199826559248,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0
reson,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
monitor,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
orthodontist,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
diagnos,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
tomographi,0,0,0,0,0,0,-0.38021124171160614,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38021124171160614,0.0,0.0,0.0
cybersecur,0,0,0,0,0,-0.2787536009528291,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2787536009528291,0.0,0.0,0.0,0.0
obtain,-0.3979400086720375,0,-0.11394335230683672,0,0,0,0,0,0,0,0.6989700043360189,-0.27814812958696944,0.0,-0.07964298545597019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
studi,0,0,0,-0.505149978319906,0,0,0,0,0,0.45593195564972433,0.6989700043360189,0.0,0.0,0.0,-0.3530846825366046,0.0,0.0,0.0,0.0,0.0,0.3186827610174174
engin,0,0,0,0,0,0.02227639471115217,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02227639471115217,0.0,0.0,0.0,0.0
need,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect,0,0,0,0,-0.2041199826559248,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0
full,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
nuclear,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
better,0,0,0,-0.2041199826559248,0,0,0,-0.4623979978989561,0,0,0.6989700043360189,0.0,0.0,0.0,-0.14267374516207984,0.0,0.0,0.0,-0.32320233059639975,0.0,0.0
thing,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
veterinarian,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
softwar,0,0,0,0,0,-0.2787536009528291,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2787536009528291,0.0,0.0,0.0,0.0
easi,0,0,0,0,0,0,0,0,0,0.45593195564972433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45593195564972433
like,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
anim,0,0,0,0,0,-0.2787536009528291,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2787536009528291,0.0,0.0,0.0,0.0
compet,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
evalu,0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hon,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
nurs,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
technolog,0,0,0,-0.028028723600243444,0,-0.2787536009528291,-0.6812412373755872,0,0,0,0.5228787452803376,0.0,0.0,0.0,-0.014655623827904678,0.0,-0.1457543331085912,-0.35620656343217166,0.0,0.0,0.0
refer,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
kind,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pet,0,0,0,0,0,0,-0.6812412373755872,-0.4623979978989561,0,0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,-0.476167190642289,-0.32320233059639975,0.0,0.0
view,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
numer,0,0,0,0,-0.2041199826559248,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0
outcom,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
differ,0,0,0,-0.2041199826559248,0,0,-0.6812412373755872,0,0,0,0.6989700043360189,0.0,0.0,0.0,-0.14267374516207984,0.0,0.0,-0.476167190642289,0.0,0.0,0.0
degre,0,0,0,0,0,-0.2787536009528291,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2787536009528291,0.0,0.0,0.0,0.0
activ,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
techniqu,0,-0.30102999566398125,0,0,0,0,-0.6812412373755872,0,0,0,0.6989700043360189,0.0,-0.2104109373745247,0.0,0.0,0.0,0.0,-0.476167190642289,0.0,0.0,0.0
practition,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
physic,0,0,0,0,0,0,0,0,-0.43136376415898736,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43136376415898736,0.0
